"server_ip","city","country_name","country_code","latitude","longitude"
"195.89.145.37","Amsterdam",,"NL",52.3086,4.76389
"2001:5002:100:21::37","Amsterdam",,"NL",52.3086,4.76389
"2001:5002:100:21::11","Amsterdam",,"NL",52.3086,4.76389
"2001:5002:100:21::24","Amsterdam",,"NL",52.3086,4.76389
"195.89.145.11","Amsterdam",,"NL",52.3086,4.76389
"2600:1900:4060:f014:0:36::","Amsterdam",,"NL",52.3086,4.76389
"195.89.145.24","Amsterdam",,"NL",52.3086,4.76389
"2001:7f8:1e:6::37","Belgrade",,"RS",44.8184,20.3091
"2001:7f8:1e:6::24","Belgrade",,"RS",44.8184,20.3091
"34.32.63.86","Berlin",,"DE",52.3514,13.4939
"10.38.0.76","Berlin",,"DE",52.3514,13.4939
"2600:1901:81f0:266:0:52::","Berlin",,"DE",52.3514,13.4939
"10.38.0.78","Berlin",,"DE",52.3514,13.4939
"162.213.97.101","Bogota",,"CO",4.70159,-74.1469
"162.213.97.75","Bogota",,"CO",4.70159,-74.1469
"2800:870:400:1::88","Bogota",,"CO",4.70159,-74.1469
"2800:870:400:1::101","Bogota",,"CO",4.70159,-74.1469
"162.213.97.88","Bogota",,"CO",4.70159,-74.1469
"2800:870:400:1::75","Bogota",,"CO",4.70159,-74.1469
"190.98.179.216","Bogota",,"CO",4.70159,-74.1469
"190.98.179.203","Bogota",,"CO",4.70159,-74.1469
"190.98.179.229","Bogota",,"CO",4.70159,-74.1469
"2001:1498:1:965::203","Bogota",,"CO",4.70159,-74.1469
"2001:1498:1:965::216","Bogota",,"CO",4.70159,-74.1469
"2001:1498:1:965::229","Bogota",,"CO",4.70159,-74.1469
"2001:668:1f:69::37","Brussels",,"BE",50.9014,4.48444
"204.199.6.11","Buenos Aires",,"AR",-34.8222,-58.5358
"2001:1900:2261:1705::11","Buenos Aires",,"AR",-34.8222,-58.5358
"204.199.6.24","Buenos Aires",,"AR",-34.8222,-58.5358
"204.199.6.37","Buenos Aires",,"AR",-34.8222,-58.5358
"2001:1900:2261:1705::37","Buenos Aires",,"AR",-34.8222,-58.5358
"2001:1900:2261:1705::24","Buenos Aires",,"AR",-34.8222,-58.5358
"2001:470:1:ed5::165","Calgary",,"CA",51.1139,-114.02
"64.62.161.139","Calgary",,"CA",51.1139,-114.02
"64.62.161.152","Calgary",,"CA",51.1139,-114.02
"64.62.161.165","Calgary",,"CA",51.1139,-114.02
"154.114.19.101","Cape Town",,"ZA",-33.9648,18.6017
"10.0.0.68","Charleston",,"US",32.8986,-80.0405
"38.65.210.203","Chicago",,"US",41.9786,-87.9047
"2001:550:1b01:1::216","Chicago",,"US",41.9786,-87.9047
"2001:1900:3001:b::152","Chicago",,"US",41.9786,-87.9047
"4.71.251.152","Chicago",,"US",41.9786,-87.9047
"4.71.251.139","Chicago",,"US",41.9786,-87.9047
"38.65.210.229","Chicago",,"US",41.9786,-87.9047
"38.65.210.216","Chicago",,"US",41.9786,-87.9047
"2001:1900:3001:b::165","Chicago",,"US",41.9786,-87.9047
"4.15.35.152","Dallas",,"US",32.8968,-97.038
"2001:550:2000::37","Dallas",,"US",32.8968,-97.038
"2001:550:2000::24","Dallas",,"US",32.8968,-97.038
"34.174.102.230","Dallas",,"US",32.8968,-97.038
"64.86.132.88","Dallas",,"US",32.8968,-97.038
"38.107.216.11","Dallas",,"US",32.8968,-97.038
"38.107.216.24","Dallas",,"US",32.8968,-97.038
"10.15.0.104","Dallas",,"US",32.8968,-97.038
"4.15.35.139","Dallas",,"US",32.8968,-97.038
"64.86.132.75","Dallas",,"US",32.8968,-97.038
"64.86.132.101","Dallas",,"US",32.8968,-97.038
"4.15.35.165","Dallas",,"US",32.8968,-97.038
"38.107.216.37","Dallas",,"US",32.8968,-97.038
"209.170.120.101","Denver",,"US",39.8617,-104.673
"2001:1900:2200:49::11","Denver",,"US",39.8617,-104.673
"128.177.109.75","Denver",,"US",39.8617,-104.673
"4.34.58.24","Denver",,"US",39.8617,-104.673
"128.177.109.88","Denver",,"US",39.8617,-104.673
"209.170.120.75","Denver",,"US",39.8617,-104.673
"209.170.120.88","Denver",,"US",39.8617,-104.673
"2001:2030:0:3b::75","Denver",,"US",39.8617,-104.673
"4.34.58.11","Denver",,"US",39.8617,-104.673
"128.177.109.101","Denver",,"US",39.8617,-104.673
"4.34.58.37","Denver",,"US",39.8617,-104.673
"34.18.62.214","Doha",,"QA",25.2731,51.6081
"2600:1901:81c0:7ec:8000::","Doha",,"QA",25.2731,51.6081
"34.18.62.214","Doha",,"QA",25.2731,51.6081
"10.39.0.73","Doha",,"QA",25.2731,51.6081
"193.1.12.203","Dublin",,"IE",53.4213,-6.27007
"193.1.12.216","Dublin",,"IE",53.4213,-6.27007
"2001:770:b5::203","Dublin",,"IE",53.4213,-6.27007
"193.1.12.229","Dublin",,"IE",53.4213,-6.27007
"2801:80:a88:4006::37","Florianopolis",,"BR",-27.6703,-48.5525
"200.237.203.24","Florianopolis",,"BR",-27.6703,-48.5525
"200.237.203.37","Florianopolis",,"BR",-27.6703,-48.5525
"200.237.203.11","Florianopolis",,"BR",-27.6703,-48.5525
"2801:80:a88:4006::11","Florianopolis",,"BR",-27.6703,-48.5525
"2801:80:a88:4006::24","Florianopolis",,"BR",-27.6703,-48.5525
"2600:1900:40d0:3976:8000:1::","Frankfurt",,"DE",50.0333,8.57056
"195.89.146.101","Frankfurt",,"DE",50.0333,8.57056
"2001:4c08:2003:40::229","Frankfurt",,"DE",50.0333,8.57056
"2001:4c08:2003:40::216","Frankfurt",,"DE",50.0333,8.57056
"2001:4c08:2003:40::203","Frankfurt",,"DE",50.0333,8.57056
"2600:1900:40d0:3976:0:37::","Frankfurt",,"DE",50.0333,8.57056
"2001:5001:200:30::75","Frankfurt",,"DE",50.0333,8.57056
"2001:5001:200:30::101","Frankfurt",,"DE",50.0333,8.57056
"2001:5001:200:30::88","Frankfurt",,"DE",50.0333,8.57056
"80.239.142.203","Hamburg",,"DE",53.6304,9.98823
"80.239.142.216","Hamburg",,"DE",53.6304,9.98823
"2001:2030:0:19::203","Hamburg",,"DE",53.6304,9.98823
"2001:2030:0:19::216","Hamburg",,"DE",53.6304,9.98823
"2001:2030:0:19::229","Hamburg",,"DE",53.6304,9.98823
"10.17.0.102","Helsinki",,"FI",60.3172,24.9633
"10.17.0.101","Helsinki",,"FI",60.3172,24.9633
"154.18.169.88","Hong Kong",,"HK",22.3089,113.915
"35.220.156.178","Hong Kong",,"HK",22.3089,113.915
"2600:1900:41a0:f002:8000:1::","Hong Kong",,"HK",22.3089,113.915
"2402:4480:400::88","Hong Kong",,"HK",22.3089,113.915
"34.35.31.99","Johannesburg",,"ZA",-26.1392,28.246
"196.24.45.152","Johannesburg",,"ZA",-26.1392,28.246
"102.88.1.152","Lagos",,"NG",6.57737,3.32116
"102.88.1.139","Lagos",,"NG",6.57737,3.32116
"102.88.1.165","Lagos",,"NG",6.57737,3.32116
"2800:870:3000::37","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::203","Lima",,"PE",-12.0219,-77.1143
"2800:870:3000::24","Lima",,"PE",-12.0219,-77.1143
"2800:870:3000::11","Lima",,"PE",-12.0219,-77.1143
"8.243.113.216","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::216","Lima",,"PE",-12.0219,-77.1143
"200.123.196.37","Lima",,"PE",-12.0219,-77.1143
"200.123.196.24","Lima",,"PE",-12.0219,-77.1143
"8.243.113.203","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::229","Lima",,"PE",-12.0219,-77.1143
"200.123.196.11","Lima",,"PE",-12.0219,-77.1143
"8.243.113.229","Lima",,"PE",-12.0219,-77.1143
"162.213.98.37","Lisbon",,"PT",38.7813,-9.13592
"162.213.98.11","Lisbon",,"PT",38.7813,-9.13592
"195.89.147.139","Lisbon",,"PT",38.7813,-9.13592
"162.213.98.24","Lisbon",,"PT",38.7813,-9.13592
"213.242.96.216","Lisbon",,"PT",38.7813,-9.13592
