"cidade","provedor","rtt_mediana","testes"
"Nova Olímpia","Telefônica",1.0,8
"Terra Santa","Telefônica",2.25,10
"Mairinque","Telefônica",2.375,8
"Arco Verde","Telefônica",2.75,2
"Franco da Rocha","Telefônica",2.875,223
"Monte Mor","Telefônica",3.0,83
"Ouro Fino","Telefônica",3.0,10
"Belem","Telefônica",3.125,4
"Biguaçu","Claro",3.21875,33
"Porto Feliz","Telefônica",3.3125,129
"Santo Antônio do Pinhal","Telefônica",3.375,129
"Boa Vista","Claro",3.5625,136
"Pitangueiras","Telefônica",3.8125,3
"Corumbataí","Telefônica",4.125,14
"Embu-Guaçu","Telefônica",4.1875,398
"Saltinho","Claro",4.25,6
"Barretos","Telefônica",4.375,115
"Francisco Morato","Claro",4.375,299
"Ipeúna","Telefônica",4.375,4
"Taboão da Serra","Telefônica",4.4375,1451
"Diadema","Telefônica",4.4375,753
"Embu das Artes","Telefônica",4.625,454
"Seropédica","Telefônica",4.625,6
"Mairiporã","Telefônica",4.625,365
"Santo André","Telefônica",4.6875,4944
"Osasco","Telefônica",4.6875,4101
"Jandira","Telefônica",4.6875,504
"São Caetano do Sul","Telefônica",4.6875,1625
"Itaquaquecetuba","Telefônica",4.875,463
"Itapevi","Telefônica",4.875,3936
"Arujá","Telefônica",4.875,83
"São Paulo","Telefônica",4.9375,127745
"Jaú","Telefônica",4.9375,453
"Balneário Piçarras","Claro",5.125,23
"Nova Europa","Telefônica",5.125,3
"Ribeirão Pires","Telefônica",5.125,701
"Caieiras","Telefônica",5.125,29
"Guarulhos","Telefônica",5.1875,9718
"São Bernardo do Campo","Telefônica",5.1875,6200
"Barueri","Telefônica",5.1875,2323
"Itapecerica da Serra","Telefônica",5.1875,579
"Serra Negra","Telefônica",5.25,4
"São Luís do Paraitinga","Claro",5.375,37
"São Roque","Telefônica",5.375,253
"Santana de Parnaíba","Telefônica",5.375,1741
"Cotia","Telefônica",5.4375,757
"Santa Lúcia","Telefônica",5.4375,16
"São Vicente","Telefônica",5.625,1732
"Suzano","Telefônica",5.625,2358
"Boituva","Telefônica",5.625,46
"Carapicuíba","Telefônica",5.6875,1300
"Mauá","Telefônica",5.6875,1213
"Mogi das Cruzes","Telefônica",5.875,1920
"Votorantim","Telefônica",5.875,209
"São Gonçalo","Telefônica",5.875,110
"Brotas","Telefônica",5.875,6
"Santos","Telefônica",5.9375,5315
"Florianópolis","Claro",5.96875,11372
"Tatuí","Telefônica",6.0,148
"Aparecida","Telefônica",6.0,4
"Cordeirópolis","Telefônica",6.0,8
"Sorocaba","Telefônica",6.125,4049
"Cosmópolis","Telefônica",6.25,193
"Tanabi","Telefônica",6.25,7
"Itu","Telefônica",6.375,535
"Paulínia","Telefônica",6.375,485
"Hortolândia","Telefônica",6.375,931
"Jacareí","Telefônica",6.4375,873
"Santa Isabel","Claro",6.5,1
"Sena Madureira","Claro",6.5,11
"Mairinque","Claro",6.5,1
"Itapetininga","Telefônica",6.625,509
"Caçapava","Telefônica",6.625,264
"Monte Alegre do Sul","Telefônica",6.625,67
"São José dos Campos","Telefônica",6.6875,7380
"Itaquaquecetuba","Claro",6.75,5
"Cachoeira Paulista","Claro",6.75,1
"Campinas","Telefônica",6.875,8282
"Taubaté","Telefônica",6.875,958
"Salto","Telefônica",6.875,737
"Indaiatuba","Telefônica",6.875,1662
"Santa Bárbara d'Oeste","Telefônica",6.875,465
"Engenheiro Coelho","Telefônica",6.875,22
"Jundiaí","Telefônica",6.9375,3374
"Sumaré","Telefônica",6.9375,2395
"Tietê","Telefônica",7.0,9
"Cabreúva","Telefônica",7.0,1
"Guarujá","Telefônica",7.125,885
"Valinhos","Telefônica",7.1875,828
"Vinhedo","Telefônica",7.1875,872
"Limeira","Telefônica",7.25,583
"Nova Odessa","Telefônica",7.25,31
"Várzea Paulista","Claro",7.25,4
"Praia Grande","Telefônica",7.375,2854
"Americana","Telefônica",7.375,1650
"Cajamar","Telefônica",7.5,96
"Itanhaém","Telefônica",7.5,11
"Pindamonhangaba","Telefônica",7.625,499
"Cubatão","Telefônica",7.6875,181
"Várzea Paulista","Telefônica",7.75,77
"Mogi Mirim","Telefônica",7.75,406
"José Bonifácio","Telefônica",7.75,74
"Jarinu","Claro",7.75,2
"Piracicaba","Telefônica",7.9375,1549
"Cruzeiro","Claro",8.0,4
"Descalvado","Claro",8.0,1
"Ilha Solteira","Telefônica",8.0,2
"Itapeva","Telefônica",8.25,91
"Amparo","Telefônica",8.25,56
"Barra Mansa","Claro",8.25,10
"Guaratinguetá","Telefônica",8.25,350
"Peruíbe","Claro",8.25,214
"Itupeva","Claro",8.25,14
