"city","rtt_medio","total_testes"
"Salvador",85.73854098360655,188
"Recife",125.25911235955054,90
"Fortaleza",110.63575409836062,61
"São Luís",135.32432432432432,37
"Maceió",110.32969696969695,33
"Natal",80.25536666666666,30
"João Pessoa",102.54276190476193,21
"Teresina",73.19231578947367,19
"Aracaju",100.95041176470588,17
"Vitória da Conquista",59.7314,15
"Ilhéus",101.89026666666669,15
"Mossoró",64.73942857142856,7
"Juazeiro do Norte",63.69966666666667,3
"Campina Grande",62.67600000000001,3
"Feira de Santana",29.7,2
"Imperatriz",76.2415,2
"Petrolina",142.191,2
"Caruaru",69.709,1
"Jaboatão dos Guararapes",196.192,1
