"server_site","testes"
"gru03",983682
"gru02",957572
"gru15830",515519
"fln01",452783
"gig1916",166356
"vix53078",163348
"gru07",112930
"gru06",108080
"fln11242",96826
"gru1916",82069
"vix1916",56552
"cwb10881",35708
"gyn1916",29331
"poa2716",22070
"bsb1916",21822
"aju1916",16870
"ssa53164",16040
"rec1916",15980
"cpv1916",14994
"the1916",13880
"mcz1916",13283
"nat1916",13169
"bog05",12884
"slz1916",12734
"cgb1916",10904
"cgr1916",8711
"bel1916",8612
"eze01",8573
"pmw1916",7950
"for1916",7477
"mcp1916",7251
"mao1916",5908
"bvb1916",5539
"bog02",4717
"lim01",4193
"lim02",4117
"rbr1916",2418
"pvh1916",1846
"cnf1916",184
"oma396982",144
"fra03",88
"fra174",84
"fra04",75
"fra15830",67
"ams396982",47
"ams15830",35
"ams05",32
"lga05",31
"los02",31
"mia02",30
"den04",28
"den05",24
"lga04",23
"lga06",23
"den02",20
"mia04",19
"mia05",18
"bom02",16
"scl01",16
"oma03",16
"ham02",16
"scl396982",15
"yyc03",14
"lga08",14
"bom04",12
"dfw08",12
"lax06",11
"hel396982",11
"fra09",11
"dfw02",10
"cmh396982",10
"dfw396982",10
"iad396982",9
"dfw03",9
"nuq08",9
"dub01",9
"syd03",8
"syd396982",7
"iad02",7
"tlv02",7
"yul03",7
"nuq06",6
"waw03",6
"nuq04",6
"par05",6
"lax04",6
"lhr04",6
"lhr07",6
"iad04",6
"mex01",5
"nuq03",5
"ind23372",5
"ber03",5
"yul06",5
"chs03",5
"del02",5
"hnd63770",4
"bom06",4
"ord06",4
"las396982",4
"ord02",4
"fra396982",4
"zrh03",4
"svg01",4
"syd15830",4
"dfw15830",4
"del04",4
"mty01",3
"hnd396982",3
"icn02",3
"cia202870",3
"oma02",3
"wlg02",3
"jnb01",3
"fra08",2
"prg03",2
"del06",2
"mad04",2
"lax396982",2
"tgd01",2
"yyz06",2
"ktm136908",2
"beg01",2
"prg05",2
"sea03",2
"hel03",2
"yyz03",2
"mrs04",2
"sin01",2
"lis03",2
"prg04",2
"lhr396982",2
"pdx396982",2
"mrs02",2
"mpm02",1
"mil07",1
"sof01",1
"arn03",1
"trn02",1
"yvr04",1
"dfw13",1
"ber02",1
"bru04",1
"lis02",1
"ams12",1
"zrh02",1
"lax10",1
"trn05",1
"doh03",1
"tpe396982",1
"mel02",1
"par09",1
"ywg02",1
"sin396982",1
"syd08",1
"hkg05",1
"lis01",1
"dfw12",1
"mil05",1
"waw02",1
"jnb02",1
"mnl01",1
"sea04",1
