"asn","as_name"
"18881","TELEFÔNICA BRASIL S.A"
"28573","CLARO S.A."
"26599","TELEFÔNICA BRASIL S.A"
"265303","TV Alphaville Sistema de TV por Assinatura LTDA"
"14868","COPEL Telecomunicações S.A."
"22085","Claro S/A"
"53184","INB Telecom EIRELI - ME"
"10429","Telefonica Data S.A."
"262907","AVATO TECNOLOGIA"
"61844","NEW MASTER PROVEDOR DE ACESSO A INTERNET"
"28258","Powerline Internet"
"273683",
"27699","TELEFÔNICA BRASIL S.A"
"22689","Sercomtel Participações S.A."
"19182","TELEFÔNICA BRASIL S.A"
"4230","CLARO S.A."
"53062","G G NET - Telecomunicações LTDA EPP"
"264228","BRASIL STARLINK TELECOMUNICACOES LTDA - EPP"
"28669","America-NET Ltda."
"263645","FIXTELL TELECOM"
"266949","DIVIFIBRA TELECOMUNICAÇÕES LTDA EPP"
"262700","Efibra Telecom LTDA - EPP"
"28658","Gigalink de Nova Friburgo Soluções em Rede Multimi"
"262673","Lafaiete Provedor de Internet e Telecomunic Ltda"
"52900","QUALITY TELECOM SERVIÇOS DE COMUNICAÇÃO LTDA EPP"
"263629","CELLONI DIST. DE EQUIP. DE INF. E TECNOLOGIA LTDA"
"52940","NEMESIS Provedor de Acesso as Redes de Comunicação"
"262671","S & M Informática Ltda."
"28241","Viaceu Internet Ltda"
"53191","PLUG Telecom"
"28263","Ensite Brasil Telecomunicações Ltda - ME"
"263072","BD Fibra Telecom Ltda - EPP"
"53171","Omni Telecomunicacoes Ltda"
