asn,isp_name
18881,Telefônica
26599,Telefônica
27699,Telefônica
19182,Telefônica
10429,Telefônica
28573,Claro
4230,Claro
22085,Claro
265303,TV Alphaville
14868,COPEL Telecom
53184,INB Telecom
262907,Avato Tecnologia
61844,New Master
28258,Powerline Internet
273683,Desconhecido
22689,Sercomtel
53062,G G Net
264228,Brasil Starlink
28669,America Net
263645,Fixtell Telecom
266949,Divifibra
262700,Efibra Telecom
28658,Gigalink
262673,Lafaiete
52900,Quality Telecom
263629,Celloni
52940,Nemesis
262671,S & M Informática
28241,Viaceu Internet
53191,Plug Telecom
28263,Ensite Brasil
263072,BD Fibra Telecom
53171,Omni Telecom
