"server_site","server_ip","total_testes","clientes_unicos"
"gru15830","192.168.150.10",169866,105559
"gru02","2804:680:15:1::229",40077,37056
"gru02","2804:680:15:1::216",39891,36792
"gru03","2800:870:1000:10::152",39160,36036
"gru03","2800:870:1000:10::139",39112,35991
"gru03","2800:870:1000:10::165",39111,36015
"gru07","2600:1900:40f0:7602:0:8a::",23919,22800
"vix53078","2804:6bc:4000:b::10",23802,20091
"gru02","2804:680:15:1::203",20696,19136
"fln01","2801:80:a88:4006::37",20596,17611
"fln01","2801:80:a88:4006::11",20441,17564
"fln01","2801:80:a88:4006::24",20368,17382
"gig1916","2001:12f0:400:3::239",20207,17307
"gru03","200.123.198.165",19469,15251
"gru03","200.123.198.152",19274,15181
"gru03","200.123.198.139",19021,14956
"gru02","177.136.80.216",18684,14687
"gru02","177.136.80.229",18525,14563
"gig1916","200.159.254.239",14836,6347
"fln11242","2801:80:a88:4001::21",13537,12052
"gru1916","200.133.192.119",11335,6197
"gru07","10.28.0.34",11328,9597
"vix53078","187.94.208.38",9885,6693
"gru02","177.136.80.203",9733,7849
"fln01","200.237.203.37",9063,6257
"fln01","200.237.203.24",8960,6264
"fln01","200.237.203.11",8834,6152
"vix1916","200.137.76.137",7923,1236
"fln11242","200.237.196.21",5756,4378
"cwb10881","2801:82:0:3::4",4964,4600
"bsb1916","2001:12f0:b00:3::1916:2",4470,4226
"gyn1916","2001:12f0:c00:7::1916:121",4369,4138
"pmw1916","2001:12f0:cc0::35",3943,3737
"rec1916","200.133.0.52",3328,2960
"mcz1916","200.133.133.209",3219,2884
"vix1916","2001:12f0:6c0:667::137",3017,2761
"poa2716","2804:0:0:c010::20",3005,2817
"cpv1916","2001:12f0:9c0:1916::227",2579,2477
"cwb10881","200.134.255.4",2463,2056
"ssa53164","2801:86:8::20",2446,2351
"aju1916","2001:12f0:a80:2::a:175",2437,2351
"slz1916","2001:12f0:a00:1:dc::33",2147,2067
"bsb1916","200.19.119.121",2090,1744
"gyn1916","200.18.160.121",2058,1722
"the1916","2001:12f0:a40:dec0::9:153",1999,1918
"pmw1916","200.139.26.35",1875,1571
"poa2716","200.132.1.22",1309,1111
"pvh1916","2001:12f0:e80::180",1085,1017
"aju1916","200.17.118.175",1060,930
"cpv1916","200.129.75.227",1049,931
"ssa53164","200.128.2.20",942,835
"nat1916","2001:12f0:700:ff03::197",840,812
"slz1916","200.137.129.33",806,735
"mao1916","2001:12f0:d00:5::6a",771,722
"the1916","200.137.160.153",760,676
"bvb1916","2001:12f0:e40::213",538,515
"bog02","190.98.179.216",455,378
"pvh1916","200.129.139.180",445,391
"bog05","2800:870:400:1::75",444,412
"bog05","2800:870:400:1::101",440,409
"bog05","2800:870:400:1::88",431,411
"bog02","190.98.179.203",424,366
"bog02","190.98.179.229",399,335
"eze01","2001:1900:2261:1705::37",380,347
"eze01","2001:1900:2261:1705::24",379,350
"mcp1916","2001:12f0:ec0:1::1916:51",379,363
"nat1916","200.137.0.197",362,338
"eze01","2001:1900:2261:1705::11",349,316
"cgr1916","200.129.207.174",343,315
"mao1916","200.129.156.106",280,252
"eze01","204.199.6.11",230,160
"cgb1916","2001:12f0:c80:12::162",230,222
"bvb1916","200.129.143.213",227,201
"eze01","204.199.6.37",210,161
"eze01","204.199.6.24",206,171
"lim02","2800:870:3000::11",203,185
"lim01","2001:13b3:9000::216",198,180
"lim01","2001:13b3:9000::203",197,175
"lim02","2800:870:3000::37",188,166
"lim02","2800:870:3000::24",175,158
"lim01","2001:13b3:9000::229",167,152
"bog05","162.213.97.88",166,144
"bog02","2001:1498:1:965::216",165,149
"bog05","162.213.97.75",159,134
"bog02","2001:1498:1:965::203",159,150
"bog02","2001:1498:1:965::229",157,144
"bog05","162.213.97.101",150,136
"cgb1916","200.129.240.162",131,119
"mcp1916","200.129.167.51",124,116
"bel1916","2001:12f0:d80:1::10",99,98
"for1916","2001:12f0:780:99ff::112",75,74
"lim02","200.123.196.37",62,52
"lim01","8.243.113.229",56,44
"lim01","8.243.113.203",48,39
"lim01","8.243.113.216",48,39
"lim02","200.123.196.24",46,38
"lim02","200.123.196.11",45,40
"rbr1916","2001:12f0:e00:1010::149",39,39
"bel1916","200.129.149.10",33,31
"for1916","200.129.0.112",24,22
"fra174","2001:978:2:76::cf",23,20
"oma396982","10.128.0.2",21,11
"rbr1916","200.139.7.149",18,17
"fra15830","2604:1380:4091:2100::1",16,13
"hel396982","10.166.0.5",10,1
"fra04","2001:4c08:2003:40::229",10,9
"fra04","2001:4c08:2003:40::203",10,9
"fra03","2001:5001:200:30::75",7,5
"fra03","2001:5001:200:30::101",6,5
"fra04","2001:4c08:2003:40::216",6,6
"ams396982","10.164.0.2",5,5
"ams15830","2604:1380:4601:7500::1",5,5
"hnd63770","219.100.92.234",3,3
"fra03","2001:5001:200:30::88",3,3
"lga05","4.35.94.11",3,1
"jnb01","196.24.45.152",3,1
"ind23372","207.174.80.149",3,2
"mia04","173.205.3.152",2,2
"syd396982","10.152.0.3",2,1
"iad02","38.90.140.165",2,2
"ams15830","147.75.204.129",2,1
"lga05","4.35.94.24",2,1
"iad04","173.205.4.37",2,2
"syd15830","147.75.48.145",2,2
"cia202870","2a07:7e87::1:6",2,1
"ams05","2001:5002:100:21::11",2,2
"lax06","38.98.51.11",2,2
"ham02","2001:2030:0:19::216",2,2
"lga05","4.35.94.37",2,1
"lga04","173.205.4.101",1,1
"mrs04","162.213.98.203",1,1
"lga06","128.177.119.203",1,1
"svg01","81.167.39.37",1,1
"waw03","10.33.0.103",1,1
"yyz06","38.111.126.75",1,1
"ams05","2001:5002:100:21::37",1,1
"fra396982","10.156.0.2",1,1
"mia04","173.205.3.139",1,1
"lis02","195.89.147.139",1,1
"mia05","128.177.109.37",1,1
"nuq08","2001:4f8:ffff:3::181",1,1
"mad04","77.67.115.101",1,1
"lga04","173.205.4.75",1,1
"cia202870","130.78.57.47",1,1
"lga04","173.205.4.88",1,1
"hel03","10.17.0.101",1,1
"yul03","76.74.83.216",1,1
"dfw03","4.15.35.165",1,1
"lax06","38.98.51.37",1,1
"nuq08","192.158.252.181",1,1
"prg05","195.89.147.88",1,1
"mia05","128.177.109.24",1,1
"scl01","8.243.188.203",1,1
"par05","195.89.147.216",1,1
"dub01","193.1.12.229",1,1
"scl396982","10.194.0.2",1,1
"iad396982","10.150.0.2",1,1
"syd03","203.5.76.165",1,1
"lis03","162.213.98.24",1,1
"yul03","76.74.83.229",1,1
"lga06","128.177.119.229",1,1
"nuq06","2001:438:fffd:2d::139",1,1
"lga04","2001:668:1f:22::75",1,1
"prg03","2001:2030:31::165",1,1
"lga08","2001:550:1d00:100::152",1,1
"scl01","8.243.188.216",1,1
"lis01","213.242.96.216",1,1
"svg01","81.167.39.11",1,1
"arn03","213.242.86.75",1,1
"del04","2405:203:9c0:1::101",1,1
"sea03","173.205.3.37",1,1
"lhr04","195.89.146.37",1,1
"mia04","2001:668:1f:1f::139",1,1
