"server_site","server_ip","city","country_name","country_code","latitude","longitude","total_testes","clientes_unicos"
"gru15830","192.168.150.10",,"Brazil","BR",-23.4322,-46.4692,169860,105557
"poa2716","2804:0:0:c010::20","Farroupilha","Brazil","BR",-29.9944,-51.1714,114190,2817
"rec1916","200.133.0.52","Petrolina","Brazil","BR",-8.12649,-34.9236,103168,2960
"cpv1916","2001:12f0:9c0:1916::227","Campina Grande","Brazil","BR",-7.26992,-35.8964,54159,2477
"poa2716","200.132.1.22","Farroupilha","Brazil","BR",-29.9944,-51.1714,49742,1111
"gru02","2804:680:15:1::229","Sao Paulo",,"BR",-23.4322,-46.4692,40077,37056
"gru02","2804:680:15:1::216","Sao Paulo",,"BR",-23.4322,-46.4692,39891,36792
"gru03","2800:870:1000:10::152","Sao Paulo",,"BR",-23.4322,-46.4692,39159,36035
"gru03","2800:870:1000:10::165","Sao Paulo",,"BR",-23.4322,-46.4692,39110,36014
"gru03","2800:870:1000:10::139","Sao Paulo",,"BR",-23.4322,-46.4692,39110,35989
"mao1916","2001:12f0:d00:5::6a","Manaus","Brazil","BR",-3.03861,-60.0497,26214,722
"poa2716","2804:0:0:c010::20","Júlio de Castilhos","Brazil","BR",-29.9944,-51.1714,24040,2817
"gru07","2600:1900:40f0:7602:0:8a::","Sao Paulo",,"BR",-23.4322,-46.4692,23919,22800
"vix53078","2804:6bc:4000:b::10","Espera Feliz","Brazil","BR",-20.2581,-40.2864,23800,20089
"cpv1916","200.129.75.227","Campina Grande","Brazil","BR",-7.26992,-35.8964,20980,931
"gru02","2804:680:15:1::203","Sao Paulo",,"BR",-23.4322,-46.4692,20694,19134
"cpv1916","2001:12f0:9c0:1916::227","Araruna","Brazil","BR",-7.26992,-35.8964,20632,2477
"fln01","2801:80:a88:4006::37","Florianopolis",,"BR",-27.6703,-48.5525,20595,17610
"fln01","2801:80:a88:4006::11","Florianopolis",,"BR",-27.6703,-48.5525,20441,17564
"fln01","2801:80:a88:4006::24","Florianopolis",,"BR",-27.6703,-48.5525,20367,17381
"gig1916","2001:12f0:400:3::239","Rio de Janeiro","Brazil","BR",-22.81,-43.2506,20206,17306
"gru03","200.123.198.165","Sao Paulo",,"BR",-23.4322,-46.4692,19466,15249
"gru03","200.123.198.152","Sao Paulo",,"BR",-23.4322,-46.4692,19273,15180
"gru03","200.123.198.139","Sao Paulo",,"BR",-23.4322,-46.4692,19021,14956
"gru02","177.136.80.216","Sao Paulo",,"BR",-23.4322,-46.4692,18684,14687
"gru02","177.136.80.229","Sao Paulo",,"BR",-23.4322,-46.4692,18525,14563
"gig1916","200.159.254.239","Rio de Janeiro","Brazil","BR",-22.81,-43.2506,14834,6345
"fln11242","2801:80:a88:4001::21",,"Brazil","BR",-27.6703,-48.5525,13537,12052
"pmw1916","2001:12f0:cc0::35","Palmas","Brazil","BR",-10.2915,-48.357,11829,3737
"gru1916","200.133.192.119","São Paulo","Brazil","BR",-23.4322,-46.4692,11334,6197
"gru07","10.28.0.34","Sao Paulo",,"BR",-23.4322,-46.4692,11328,9597
"poa2716","200.132.1.22","Júlio de Castilhos","Brazil","BR",-29.9944,-51.1714,10472,1111
"vix53078","187.94.208.38","Espera Feliz","Brazil","BR",-20.2581,-40.2864,9885,6693
"gru02","177.136.80.203","Sao Paulo",,"BR",-23.4322,-46.4692,9732,7849
"mao1916","2001:12f0:d00:5::6a","Belém","Brazil","BR",-3.03861,-60.0497,9252,722
"fln01","200.237.203.37","Florianopolis",,"BR",-27.6703,-48.5525,9063,6257
"fln01","200.237.203.24","Florianopolis",,"BR",-27.6703,-48.5525,8960,6264
"fln01","200.237.203.11","Florianopolis",,"BR",-27.6703,-48.5525,8833,6151
"mao1916","200.129.156.106","Manaus","Brazil","BR",-3.03861,-60.0497,8120,252
"vix1916","200.137.76.137","Vitória","Brazil","BR",-20.2581,-40.2864,7922,1236
"cpv1916","200.129.75.227","Araruna","Brazil","BR",-7.26992,-35.8964,7343,931
"fln11242","200.237.196.21",,"Brazil","BR",-27.6703,-48.5525,5756,4378
"pmw1916","200.139.26.35","Palmas","Brazil","BR",-10.2915,-48.357,5625,1571
"cwb10881","2801:82:0:3::4",,"Brazil","BR",-25.5285,-49.1758,4964,4600
"bsb1916","2001:12f0:b00:3::1916:2",,"Brazil","BR",-15.8692,-47.9208,4470,4226
"gyn1916","2001:12f0:c00:7::1916:121","Goiânia","Brazil","BR",-16.632,-49.2207,4369,4138
